,title,subtitle,link
25,MIS-MANAGED,Mislintat SACKED by Ajax hours after fans smash up stadium and abandon game,https://www.thesun.co.uk/sport/24112905/mislintat-sacked-ajax-fans-smash-stadium-game-abandoned/
26,LOAN RANGER,Ex-Man Utd star who played just once in Prem now slugging it out in League One,https://www.thesun.co.uk/sport/24120227/man-utd-star-league-one-wigan-ben-amos/
27,LIKE FATHER LIKE SON,"Footie icon's son, 16, signs pro deal - can you guess who his dad is?",https://www.thesun.co.uk/sport/24123479/patrick-kluivert-shane-contract-barcelona/
28,CHAPTER EIGHT,Fans ask 'am I seeing this right?' as Sheff Utd fan sits reading a book,https://www.thesun.co.uk/sport/24110689/sheff-utd-fan-reading-book-newcastle/
29,STRIKE PAIR,Kane meets doppelganger at Oktoberfest as he relaxes with Bayern team-mates,https://www.thesun.co.uk/sport/24113570/harry-kane-meets-doppelganger-oktoberfest-bayern-munich/
30,JER JOKING!,Jermaine Jenas slammed by referee charity over tweet during Arsenal vs Spurs,https://www.thesun.co.uk/sport/24111127/bbc-jermaine-jenas-xrated-blast-referee-arsenal-tottenham/
31,BUZZ KYL,Newcastle handed boost as PSG star Mbappe could MISS Champions League clash,https://www.thesun.co.uk/sport/24112980/newcastle-boost-psg-kylian-mbappe-champions-league/
32,ART ATTACK,Vidal slams Ten Hag as 'complicated bald guy' in bizarre rant about Man Utd boss,https://www.thesun.co.uk/sport/24116834/arturo-vidal-erik-ten-hag-rant-man-utd/
33,GOOD CALL,All the best Pay by Mobile casinos revealed - and how to make the most of them,https://www.thesun.co.uk/betting/21296516/pay-by-mobile-casino-uk-2023/
34,LOVE AND CHERISH,Heartbreaking video of ex-Arsenal star's wedding 3 months before wife died,https://www.thesun.co.uk/sport/24107723/derby-josh-vickers-wife-died-cancer-battle/
35,,Jamie Vardy breaks the internet with 's***housery' after 'doing an Adebayor',https://www.thesun.co.uk/sport/24107362/jamie-vardy-leicester-city-adebayor-bristol-city/
36,SPURRED ON,Arsenal fans sing X-rated Kane chant in North London derby to wind up Spurs,https://www.thesun.co.uk/sport/24108807/arsenal-tottenham-harry-kane/
37,'RASH',Neville calls out Spurs star for 'the worst thing you could do' in Arsenal clash,https://www.thesun.co.uk/sport/24108966/gary-neville-tottenham-arsenal-cristian-romero/
38,CASE CLOSED,Best Online Casinos UK - Casino sites top-rated by experts September 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
39,PLAYING AWAY,Defoe’s wife blasts star's 'lover' who was guest at their £200k wedding,https://www.thesun.co.uk/sport/24112366/jermain-defoe-estranged-wife-lover/
40,YOU'RE WELCOME,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
41,TOP OF THE SLOTS,Best payout slots for UK revealed - and where you can play them,https://www.thesun.co.uk/betting/22472603/top-payout-slots-uk/
42,QUICK BUCKS,Get cash quick as a flash with our guide to the best instant withdrawal casinos,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
43,WANDA OF YOU,Icardi's glam wife Wanda Nara strips down to lingerie for risque Insta post,https://www.thesun.co.uk/sport/24110986/wanda-nara-strips-lingerie-instagram/
44,SLIM PICKINGS,Everton 'could be forced to SELL Jordan Pickford in January transfer',https://www.thesun.co.uk/sport/24111197/everton-jordan-pickford-transfer-premier-league-takeover/
45,RIK ROLL,Ten Hag brands Man Utd hothead 'perfect' a year after 'training ground scrap',https://www.thesun.co.uk/sport/24115125/man-utd-hannibal-mejbri-burnley-performance-training-ground-fight/
46,MADD MOVES,Saka branded 'savage' for copying Tottenham star's celebration against Spurs,https://www.thesun.co.uk/sport/24109010/saka-savage-copying-tottenham-celebration-maddison/
47,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
48,BEERS TO THAT,Harry Kane wears lederhosen and poses with stein of beer at Oktoberfest,https://www.thesun.co.uk/sport/24108679/harry-kane-lederhosen-stein-beer-oktoberfest-bundesliga-record/
49,MONEY MEN,Man Utd set to welcome back £145m worth of talent for Crystal Palace clash,https://www.thesun.co.uk/sport/24120816/man-utd-harry-maguire-mason-mount-crystal-palace-injuries/
